Year,Annomaly
2024,1.21
2025,1.24
2026,1.27
2027,1.29
2028,1.32
2029,1.34
2030,1.36
2031,1.38
2032,1.4
2033,1.41
2034,1.43
2035,1.44
2036,1.45
2037,1.46
2038,1.46
2039,1.47
2040,1.48
2041,1.48
2042,1.48
2043,1.48
2044,1.49
2045,1.49
2046,1.49
2047,1.48
2048,1.48
2049,1.48
2050,1.48
2051,1.48
2052,1.47
2053,1.47
2054,1.46
2055,1.46
2056,1.46
2057,1.45
2058,1.45
2059,1.44
2060,1.43
2061,1.43
2062,1.42
2063,1.41
2064,1.41
2065,1.4
2066,1.39
2067,1.39
2068,1.38
2069,1.38
2070,1.37
2071,1.36
2072,1.36
2073,1.35
2074,1.34
2075,1.34
2076,1.33
2077,1.32
2078,1.32
2079,1.31
2080,1.31
2081,1.3
2082,1.29
2083,1.29
2084,1.28
2085,1.27
2086,1.27
2087,1.26
2088,1.26
2089,1.25
2090,1.24
2091,1.24
2092,1.24
2093,1.24
2094,1.24
2095,1.23
2096,1.23
2097,1.23
2098,1.23
2099,1.23
2100,1.23
2101,1.23
2102,1.23
2103,1.23
2104,1.23
2105,1.22
2106,1.22
2107,1.22
2108,1.22
2109,1.22
2110,1.22
2111,1.22
2112,1.22
2113,1.22
2114,1.22
2115,1.22
2116,1.21
2117,1.21
2118,1.21
2119,1.21
2120,1.21
2121,1.21
2122,1.21
2123,1.21
2124,1.2
2125,1.2
2126,1.2
2127,1.2
2128,1.2
2129,1.2
2130,1.2
2131,1.19
2132,1.19
2133,1.19
2134,1.19
2135,1.19
2136,1.19
2137,1.19
2138,1.18
2139,1.18
2140,1.18
2141,1.18
2142,1.18
2143,1.17
2144,1.17
2145,1.17
2146,1.17
2147,1.17
2148,1.17
2149,1.16
2150,1.16
