Year,Annomaly
1880,-0.18
1881,-0.1
1882,-0.11
1883,-0.19
1884,-0.28
1885,-0.31
1886,-0.32
1887,-0.35
1888,-0.18
1889,-0.11
1890,-0.37
1891,-0.23
1892,-0.27
1893,-0.32
1894,-0.31
1895,-0.23
1896,-0.11
1897,-0.12
1898,-0.28
1899,-0.19
1900,-0.09
1901,-0.16
1902,-0.3
1903,-0.39
1904,-0.49
1905,-0.28
1906,-0.23
1907,-0.4
1908,-0.43
1909,-0.47
1910,-0.43
1911,-0.43
1912,-0.36
1913,-0.35
1914,-0.16
1915,-0.12
1916,-0.33
1917,-0.44
1918,-0.28
1919,-0.27
1920,-0.25
1921,-0.17
1922,-0.27
1923,-0.24
1924,-0.25
1925,-0.2
1926,-0.08
1927,-0.2
1928,-0.19
1929,-0.34
1930,-0.14
1931,-0.1
1932,-0.16
1933,-0.3
1934,-0.14
1935,-0.2
1936,-0.16
1937,-0.04
1938,-0.03
1939,-0.03
1940,0.11
1941,0.18
1942,0.05
1943,0.07
1944,0.21
1945,0.09
1946,-0.07
1947,-0.04
1948,-0.1
1949,-0.1
1950,-0.18
1951,-0.06
1952,0.01
1953,0.07
1954,-0.15
1955,-0.14
1956,-0.2
1957,0.04
1958,0.07
1959,0.03
1960,-0.02
1961,0.05
1962,0.04
1963,0.07
1964,-0.2
1965,-0.1
1966,-0.05
1967,-0.02
1968,-0.08
1969,0.07
1970,0.03
1971,-0.09
1972,0.01
1973,0.16
1974,-0.08
1975,-0.02
1976,-0.11
1977,0.17
1978,0.07
1979,0.16
1980,0.27
1981,0.33
1982,0.14
1983,0.31
1984,0.16
1985,0.12
1986,0.18
1987,0.34
1988,0.41
1989,0.28
1990,0.44
1991,0.41
1992,0.22
1993,0.24
1994,0.31
1995,0.45
1996,0.34
1997,0.47
1998,0.62
1999,0.4
2000,0.4
2001,0.53
2002,0.62
2003,0.61
2004,0.53
2005,0.67
2006,0.61
2007,0.64
2008,0.51
2009,0.63
2010,0.7
2011,0.57
2012,0.61
2013,0.64
2014,0.73
2015,0.86
2016,0.98
2017,0.9
2018,0.82
2019,0.84
2020,0.89
2021,0.91
2022,0.94
2023,0.98
2024,1.21
2025,1.28
2026,1.3
2027,1.32
2028,1.36
2029,1.38
2030,1.4
2031,1.43
2032,1.47
2033,1.51
2034,1.55
2035,1.57
2036,1.61
2037,1.63
2038,1.67
2039,1.69
2040,1.73
2041,1.77
2042,1.8
2043,1.82
2044,1.86
2045,1.9
2046,1.92
2047,1.96
2048,2
2049,2.04
2050,2.08
2051,2.11
2052,2.14
2053,2.18
2054,2.22
2055,2.26
2056,2.29
2057,2.32
2058,2.35
2059,2.38
2060,2.4
2061,2.43
2062,2.47
2063,2.51
2064,2.54
2065,2.56
2066,2.6
2067,2.63
2068,2.65
2069,2.68
2070,2.7
2071,2.72
2072,2.74
2073,2.78
2074,2.81
2075,2.84
2076,2.87
2077,2.91
2078,2.95
2079,2.99
2080,3.4
2081,3.45
2082,3.51
2083,3.55
2084,3.59
2085,3.63
2086,3.69
2087,3.73
2088,3.79
2089,3.85
2090,3.9
2091,3.96
2092,4
2093,4.05
2094,4.1
2095,4.16
2096,4.22
2097,4.28
2098,4.32
2099,4.38
2100,4.43
2101,4.48
2102,4.52
2103,4.56
2104,4.6
2105,4.64
2106,4.7
2107,4.74
2108,4.78
2109,4.82
2110,4.87
2111,4.91
2112,4.95
2113,5
2114,5.5
2115,5.57
2116,5.63
2117,5.69
2118,5.74
2119,5.8
2120,5.85
2121,5.9
2122,5.97
2123,6.02
2124,6.07
2125,6.12
2126,6.19
2127,6.24
2128,6.3
2129,6.35
2130,6.41
2131,6.46
2132,6.51
2133,6.58
2134,6.64
2135,6.7
2136,6.76
2137,6.81
2138,6.87
2139,6.94
2140,7
2141,7.07
2142,7.13
2143,7.18
2144,7.24
2145,7.29
2146,7.35
2147,7.42
2148,7.49
2149,7.56
2150,7.63
